event_name,fighter_f1,fighter_f2,outcome_f1,outcome_f2,bout_type,title,method,round,tot_fight_time,last_rnd_time,set_rounds,r1_kd_f1,r1_kd_f2,r1_sig_str_f1,r1_sig_str_f2,r1_total_str_f1,r1_total_str_f2,r1_td_f1,r1_td_f2,r1_sub_att_f1,r1_sub_att_f2,r1_rev_f1,r1_rev_f2,r1_ctrl_f1,r1_ctrl_f2,r2_kd_f1,r2_kd_f2,r2_sig_str_f1,r2_sig_str_f2,r2_total_str_f1,r2_total_str_f2,r2_td_f1,r2_td_f2,r2_sub_att_f1,r2_sub_att_f2,r2_rev_f1,r2_rev_f2,r2_ctrl_f1,r2_ctrl_f2,r3_kd_f1,r3_kd_f2,r3_sig_str_f1,r3_sig_str_f2,r3_total_str_f1,r3_total_str_f2,r3_td_f1,r3_td_f2,r3_sub_att_f1,r3_sub_att_f2,r3_rev_f1,r3_rev_f2,r3_ctrl_f1,r3_ctrl_f2,sg_strk_r1_sig_str_f1,sg_strk_r1_sig_str_f2,sg_strk_r1_head_f1,sg_strk_r1_head_f2,sg_strk_r1_body_f1,sg_strk_r1_body_f2,sg_strk_r1_leg_f1,sg_strk_r1_leg_f2,sg_strk_r1_distance_f1,sg_strk_r1_distance_f2,sg_strk_r1_clinch_f1,sg_strk_r1_clinch_f2,sg_strk_r1_grf1,sg_strk_r1_grf2,sg_strk_r2_sig_str_f1,sg_strk_r2_sig_str_f2,sg_strk_r2_head_f1,sg_strk_r2_head_f2,sg_strk_r2_body_f1,sg_strk_r2_body_f2,sg_strk_r2_leg_f1,sg_strk_r2_leg_f2,sg_strk_r2_distance_f1,sg_strk_r2_distance_f2,sg_strk_r2_clinch_f1,sg_strk_r2_clinch_f2,sg_strk_r2_grf1,sg_strk_r2_grf2,sg_strk_r3_sig_str_f1,sg_strk_r3_sig_str_f2,sg_strk_r3_head_f1,sg_strk_r3_head_f2,sg_strk_r3_body_f1,sg_strk_r3_body_f2,sg_strk_r3_leg_f1,sg_strk_r3_leg_f2,sg_strk_r3_distance_f1,sg_strk_r3_distance_f2,sg_strk_r3_clinch_f1,sg_strk_r3_clinch_f2,sg_strk_r3_grf1,sg_strk_r3_grf2,r4_kd_f1,r4_kd_f2,r4_sig_str_f1,r4_sig_str_f2,r4_total_str_f1,r4_total_str_f2,r4_td_f1,r4_td_f2,r4_sub_att_f1,r4_sub_att_f2,r4_rev_f1,r4_rev_f2,r4_ctrl_f1,r4_ctrl_f2,sg_strk_r4_sig_str_f1,sg_strk_r4_sig_str_f2,sg_strk_r4_head_f1,sg_strk_r4_head_f2,sg_strk_r4_body_f1,sg_strk_r4_body_f2,sg_strk_r4_leg_f1,sg_strk_r4_leg_f2,sg_strk_r4_distance_f1,sg_strk_r4_distance_f2,sg_strk_r4_clinch_f1,sg_strk_r4_clinch_f2,sg_strk_r4_grf1,sg_strk_r4_grf2,r5_kd_f1,r5_kd_f2,r5_sig_str_f1,r5_sig_str_f2,r5_total_str_f1,r5_total_str_f2,r5_td_f1,r5_td_f2,r5_sub_att_f1,r5_sub_att_f2,r5_rev_f1,r5_rev_f2,r5_ctrl_f1,r5_ctrl_f2,sg_strk_r5_sig_str_f1,sg_strk_r5_sig_str_f2,sg_strk_r5_head_f1,sg_strk_r5_head_f2,sg_strk_r5_body_f1,sg_strk_r5_body_f2,sg_strk_r5_leg_f1,sg_strk_r5_leg_f2,sg_strk_r5_distance_f1,sg_strk_r5_distance_f2,sg_strk_r5_clinch_f1,sg_strk_r5_clinch_f2,sg_strk_r5_grf1,sg_strk_r5_grf2,event_date,Height_f1,Weight_f1,Reach_f1,STANCE_f1,DOB_f1,SLpM_f1,Str. Acc._f1,SApM_f1,Str. Def_f1,TD Avg._f1,TD Acc._f1,TD Def._f1,Sub. Avg._f1,Height_f2,Weight_f2,Reach_f2,STANCE_f2,DOB_f2,SLpM_f2,Str. Acc._f2,SApM_f2,Str. Def_f2,TD Avg._f2,TD Acc._f2,TD Def._f2,Sub. Avg._f2
UFC Fight Night: Fiziev vs. Torres,Shara Magomedov,Michel Pereira,1,0,Middleweight Bout,0,Decision - Unanimous,3,900,300,3,0,1,0.85,0.53,0.7464788732394366,0.6607142857142857,,,0,0,1,0,42,204,0.0,0.0,0.57,0.35,0.5714285714285714,0.3529411764705882,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.37,0.6610169491525424,0.45,,0.0,0.0,0.0,0.0,0.0,11.0,40.0,0.85,0.53,0.75,0.5,,1.0,1.0,,1.0,0.3333333333333333,,,0.6666666666666666,0.5555555555555556,0.57,0.35,0.25,0.2727272727272727,0.7777777777777778,0.4,0.9,1.0,0.5757575757575758,0.3529411764705882,0.5,,,,0.6,0.37,0.4736842105263157,0.25,0.7333333333333333,0.5555555555555556,0.6666666666666666,0.4,0.5526315789473685,0.3529411764705882,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/27/2026,"6' 2""",185 lbs.,"73""",Orthodox,05/16/1994,5.55,62%,3.62,45%,0.0,0%,73%,0.0,"6' 1""",185 lbs.,"73""",Orthodox,10/06/1993,4.28,51%,4.32,50%,1.11,52%,75%,0.6
UFC Fight Night: Fiziev vs. Torres,Nazim Sadykhov,Matheus Camilo,0,1,Lightweight Bout,0,KO/TKO,1,91,91,3,0,1,0.0,0.4,0.0,0.4,,,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.4,0.0,0.375,0.0,,0.0,0.5,0.0,0.3333333333333333,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/27/2026,"5' 10""",155 lbs.,"69""",Southpaw,05/16/1994,4.69,48%,5.42,49%,1.08,45%,72%,0.2,"5' 10""",155 lbs.,"69""",Orthodox,01/02/2001,2.22,43%,3.05,66%,4.16,53%,0%,0.6
UFC Fight Night: Fiziev vs. Torres,Asu Almabayev,Charles Johnson,1,0,Flyweight Bout,0,Submission,3,813,213,3,0,0,0.47,0.36,0.6388888888888888,0.5,0.75,,0,0,0,0,199,0,0.0,0.0,0.51,0.5,0.65,0.5588235294117647,0.5,,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.85,0.5,0.9230769230769232,0.7142857142857143,1.0,,1.0,1.0,0.0,0.0,183.0,0.0,0.47,0.36,0.4615384615384615,0.0,0.0,0.6666666666666666,1.0,0.0,0.4545454545454545,0.2222222222222222,,1.0,0.5,,0.51,0.5,0.3125,0.2666666666666666,0.8571428571428571,0.5714285714285714,0.75,0.875,0.4545454545454545,0.5,1.0,0.5,0.75,,0.85,0.5,0.8,0.5,1.0,0.0,1.0,1.0,0.75,0.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/27/2026,"5' 4""",125 lbs.,"65""",Orthodox,01/25/1994,2.28,51%,1.94,53%,4.74,45%,44%,1.4,"5' 9""",125 lbs.,"70""",Switch,01/10/1991,4.54,49%,3.88,55%,0.47,16%,66%,0.4
UFC Fight Night: Fiziev vs. Torres,Ikram Aliskerov,Brunno Ferreira,1,0,Middleweight Bout,0,Decision - Unanimous,3,900,300,3,0,0,0.51,0.6,0.6842105263157895,0.5833333333333334,0.66,,0,0,0,0,164,0,0.0,0.0,0.51,0.38,0.5333333333333333,0.3928571428571428,1.0,0.0,0.0,0.0,0.0,0.0,150.0,7.0,0.0,0.0,0.4,0.15,0.6623376623376623,0.238095238095238,1.0,,1.0,0.0,0.0,0.0,219.0,0.0,0.51,0.6,0.391304347826087,0.4285714285714285,1.0,1.0,1.0,1.0,0.5185185185185185,0.6,0.0,,1.0,,0.51,0.38,0.4193548387096774,0.3333333333333333,0.8333333333333334,1.0,1.0,1.0,0.4857142857142857,0.3846153846153846,,,0.75,,0.4,0.15,0.3846153846153846,0.1176470588235294,0.5,0.5,,,0.2272727272727272,0.1578947368421052,,,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/27/2026,"6' 0""",185 lbs.,"76""",Southpaw,12/07/1992,5.56,60%,4.01,45%,3.82,68%,100%,0.7,"5' 10""",185 lbs.,"72""",Orthodox,11/04/1992,3.27,49%,3.75,51%,1.0,22%,50%,0.6
UFC Fight Night: Fiziev vs. Torres,Abus Magomedov,Michal Oleksiejczuk,1,0,Middleweight Bout,0,Submission,1,205,205,3,1,0,0.37,0.26,0.3703703703703703,0.2631578947368421,,,1,0,0,0,36,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0.26,0.25,0.0833333333333333,0.8,0.5,0.5,0.6666666666666666,0.36,0.2631578947368421,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/27/2026,"6' 2""",185 lbs.,"78""",Orthodox,09/02/1990,3.06,48%,3.34,56%,2.5,59%,100%,0.6,"6' 0""",185 lbs.,"74""",Southpaw,02/22/1995,5.73,52%,4.45,60%,0.99,42%,52%,0.0
UFC Fight Night: Fiziev vs. Torres,Farman Hasanov,Eric Nolan,1,0,Welterweight Bout,0,Decision - Unanimous,3,900,300,3,0,0,0.25,0.0,0.6956521739130435,0.4,0.75,,0,0,0,0,267,0,0.0,0.0,0.58,0.33,0.5806451612903226,0.44,0.45,,0.0,0.0,0.0,0.0,213.0,3.0,0.0,0.0,0.5,0.32,0.5757575757575758,0.4375,0.75,,0.0,0.0,0.0,0.0,192.0,0.0,0.25,0.0,0.25,0.0,,,,,0.0,0.0,,,0.3333333333333333,,0.58,0.33,0.5882352941176471,0.3333333333333333,,,,,0.5625,0.3333333333333333,,,1.0,,0.5,0.32,0.5,0.2916666666666667,0.5,1.0,,,0.5,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/27/2026,"5' 11""",170 lbs.,"74""",Orthodox,08/01/1995,1.4,51%,1.0,70%,17.0,62%,0%,0.0,"6' 2""",170 lbs.,"74""",Orthodox,09/13/1997,1.68,34%,2.59,44%,0.0,0%,44%,0.0
UFC Fight Night: Fiziev vs. Torres,Abdul Rakhman Yakhyaev,Julius Walker,1,0,Light Heavyweight Bout,0,KO/TKO,1,8,8,3,1,0,0.75,0.0,0.75,0.0,,,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,0.0,0.75,0.0,,,,,1.0,0.0,,,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/27/2026,"6' 2""",205 lbs.,"78""",Orthodox,01/03/2001,8.64,68%,2.22,59%,11.11,75%,100%,7.4,"6' 4""",205 lbs.,"78""",Orthodox,07/16/1999,3.72,53%,4.18,42%,4.07,38%,100%,0.0
UFC Fight Night: Fiziev vs. Torres,Nursulton Ruziboev,Andrey Pulyaev,1,0,Middleweight Bout,0,Submission,1,238,238,3,0,0,0.33,0.33,0.7222222222222222,0.6521739130434783,1.0,,1,0,0,0,148,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.33,0.0,0.0,0.5,1.0,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/27/2026,"6' 5""",185 lbs.,"76""",Orthodox,11/19/1993,2.38,46%,2.68,49%,1.36,80%,33%,0.3,"6' 4""",185 lbs.,"78""",Southpaw,09/10/1997,3.6,55%,2.94,55%,0.27,16%,56%,0.0
UFC Fight Night: Fiziev vs. Torres,Kaan Ofli,Javier Reyes,1,0,Featherweight Bout,0,Submission,1,256,256,3,1,0,0.65,0.2,0.7924528301886793,0.2,,,1,0,0,0,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.2,0.5294117647058824,0.1034482758620689,0.8,0.5,1.0,1.0,0.6190476190476191,0.2,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/27/2026,"5' 7""",145 lbs.,"66""",Orthodox,06/19/1993,2.49,47%,3.17,56%,0.34,7%,0%,0.7,"5' 7""",145 lbs.,"73""",Orthodox,10/13/1993,6.28,47%,3.06,41%,1.27,50%,50%,0.0
UFC Fight Night: Fiziev vs. Torres,Daniil Donchenko,Theodor Berggren,1,0,Welterweight Bout,0,KO/TKO,2,395,95,3,0,0,0.69,0.36,0.6987951807228916,0.4259259259259259,,,0,0,0,0,20,17,2.0,0.0,0.56,0.35,0.5769230769230769,0.3529411764705882,,,0.0,0.0,0.0,0.0,7.0,0.0,,,,,,,,,,,,,,,0.69,0.36,0.3214285714285714,0.3243243243243243,0.8333333333333334,0.4444444444444444,0.9583333333333334,1.0,0.6891891891891891,0.3255813953488372,0.75,0.75,,,0.56,0.35,0.4375,0.2307692307692307,0.5,0.75,0.8571428571428571,,0.5263157894736842,0.3529411764705882,0.8,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06/27/2026,"5' 11""",170 lbs.,"71""",Orthodox,08/04/2001,8.07,62%,2.8,70%,0.58,33%,75%,0.0,"5' 11""",170 lbs.,"75""",Switch,04/09/2000,3.49,35%,10.78,33%,0.0,0%,0%,0.0
